Word,Positive,Neutral,Negative,Count
coronavirus,0.6488881854870618,23.78729128748912,75.56382052702382,12637
COVID-19,2.108433734939759,36.77710843373494,61.114457831325296,3320
government,0.26041666666666663,35.15625,64.58333333333334,1152
NHS,0.27359781121751026,19.425444596443228,80.30095759233926,731
BBC,0.0,17.770034843205575,82.22996515679442,574
Boris,0.18484288354898337,36.59889094269871,63.21626617375231,541
London,1.9877675840978593,38.226299694189606,59.78593272171254,654
cancelled,0.21834061135371177,18.995633187772924,80.78602620087337,458
lockdown,0.3913894324853229,25.048923679060664,74.55968688845401,511
Trump,0.0,25.08474576271186,74.91525423728814,295
